num_samples,sampling_time,roadmap_time,pathfinding_time,simplification_time,total_time
500,0.027835369110107422,0.9637713432312012,0.0007011890411376953,0.0018284320831298828,0.9941363334655762
600,0.043189048767089844,1.161031723022461,0.0007178783416748047,0.0010614395141601562,1.2060000896453857
700,0.02863001823425293,1.3707835674285889,0.0009059906005859375,0.0013728141784667969,1.4016923904418945
800,0.029401063919067383,1.604273796081543,0.0013697147369384766,0.001272439956665039,1.6363170146942139
900,0.029021501541137695,1.7851026058197021,0.0015368461608886719,0.0012695789337158203,1.8169305324554443
1000,0.028405427932739258,1.9668099880218506,0.0018579959869384766,0.0012328624725341797,1.9983062744140625
1100,0.028577327728271484,2.210988998413086,0.0020704269409179688,0.0011572837829589844,2.2427940368652344
1200,0.028943300247192383,2.4098732471466064,0.0020766258239746094,0.0010325908660888672,2.4419257640838623
1300,0.02852916717529297,2.6299211978912354,0.002452373504638672,0.0012791156768798828,2.662181854248047
1400,0.028474807739257812,2.839017391204834,0.0028543472290039062,0.0009918212890625,2.871338367462158
1500,0.028897523880004883,3.0258569717407227,0.0025200843811035156,0.0010344982147216797,3.0583090782165527
1600,0.02960968017578125,3.249932289123535,0.0028045177459716797,0.0015561580657958984,3.283902645111084
1700,0.028766632080078125,3.455522298812866,0.002938508987426758,0.0018362998962402344,3.4890637397766113
1800,0.0283815860748291,3.6132960319519043,0.0035283565521240234,0.0022127628326416016,3.647418737411499
1900,0.02922224998474121,3.8605504035949707,0.0026175975799560547,0.001132965087890625,3.8935232162475586
2000,0.028424978256225586,4.064733028411865,0.003951072692871094,0.0014011859893798828,4.098510265350342
2100,0.02875065803527832,4.25282883644104,0.0036537647247314453,0.001461029052734375,4.286694288253784
2200,0.028517484664916992,4.4740424156188965,0.0038559436798095703,0.0015568733215332031,4.507972717285156
2300,0.02904963493347168,4.7029149532318115,0.0059244632720947266,0.0016160011291503906,4.739505052566528
2400,0.029528141021728516,4.889123439788818,0.004976511001586914,0.001875162124633789,4.925503253936768
2500,0.028523921966552734,5.1262593269348145,0.00461125373840332,0.0015571117401123047,5.160951614379883
2600,0.02946639060974121,5.328866481781006,0.005620479583740234,0.001585245132446289,5.365538597106934
2700,0.028911352157592773,5.52827525138855,0.004975557327270508,0.0013675689697265625,5.56352972984314
2800,0.030866622924804688,5.778480529785156,0.005452156066894531,0.001554727554321289,5.816354036331177
2900,0.02957296371459961,5.956908226013184,0.005206108093261719,0.0015621185302734375,5.993249416351318
3000,0.03140664100646973,6.20746636390686,0.005530834197998047,0.001676321029663086,6.246080160140991
