num_samples,sampling_time,roadmap_time,pathfinding_time,simplification_time,total_time
1000,0.029622316360473633,1.9937050342559814,0.0009531974792480469,0.0007331371307373047,2.0250136852264404
2000,0.043253183364868164,4.048484563827515,0.005159139633178711,0,4.0968968868255615
3000,0.029671192169189453,6.069112062454224,0.002969026565551758,0.0011830329895019531,6.102935314178467
4000,0.02874922752380371,8.152708053588867,0.002974987030029297,0.0010251998901367188,8.185457468032837
5000,0.02868175506591797,10.243505001068115,0.0061533451080322266,0.0013098716735839844,10.27964997291565
6000,0.029164552688598633,12.45925760269165,0.006743431091308594,0.0014657974243164062,12.496631383895874
7000,0.02865290641784668,14.493727207183838,0.007919073104858398,0.0011868476867675781,14.53148603439331
8000,0.028427839279174805,16.561628818511963,0.011033058166503906,0.0015218257904052734,16.602611541748047
9000,0.028870105743408203,18.720324516296387,0.012956619262695312,0.0015609264373779297,18.763712167739868
10000,0.0319061279296875,20.98346257209778,0.01726508140563965,0.001744985580444336,21.03437876701355
11000,0.02936244010925293,22.94220733642578,0.01876211166381836,0.002298593521118164,22.99263048171997
12000,0.02967524528503418,25.14787721633911,0.016537904739379883,0.002044677734375,25.1961350440979
13000,0.02895188331604004,27.244749069213867,0.01675271987915039,0.0018818378448486328,27.292335510253906
14000,0.03010082244873047,29.19923162460327,0.017480850219726562,0.0018076896667480469,29.248620986938477
15000,0.02978062629699707,31.276235342025757,0.017327308654785156,0.001600027084350586,31.32494330406189
16000,0.03317070007324219,33.383233070373535,0.023862123489379883,0.00251007080078125,33.44277596473694
17000,0.02911376953125,35.420531034469604,0.0247342586517334,0.002109527587890625,35.47648859024048
18000,0.0292513370513916,37.74325942993164,0.02846050262451172,0.0018489360809326172,37.80282020568848
19000,0.03256988525390625,40.02601146697998,0.029390573501586914,0.0020258426666259766,40.0899977684021
20000,0.029562711715698242,42.11779856681824,0.03676581382751465,0.0019140243530273438,42.18604111671448
21000,0.02963399887084961,43.97150635719299,0.034458160400390625,0.0018334388732910156,44.037431955337524
22000,0.029407501220703125,46.19137358665466,0.032338619232177734,0.0017955303192138672,46.25491523742676
23000,0.03029155731201172,48.07695960998535,0.03523898124694824,0.0016911029815673828,48.14418125152588
24000,0.02953481674194336,50.04192805290222,0.030150175094604492,0.001772165298461914,50.10338521003723
25000,0.030752897262573242,52.33260989189148,0.040250539779663086,0.0024263858795166016,52.40603971481323
26000,0.029875755310058594,54.60496377944946,0.03413558006286621,0.0020356178283691406,54.67101073265076
27000,0.029751062393188477,56.61319947242737,0.03528261184692383,0.0019369125366210938,56.6801700592041
28000,0.030772924423217773,59.040088176727295,0.038625240325927734,0.0016677379608154297,59.111154079437256
29000,0.031476497650146484,61.18444848060608,0.047052860260009766,0.0020105838775634766,61.2649884223938
30000,0.030994653701782227,63.23670697212219,0.04085421562194824,0.001630544662475586,63.3101863861084
31000,0.031189918518066406,65.27203273773193,0.048444271087646484,0.0016148090362548828,65.3532817363739
32000,0.03049612045288086,67.45314407348633,0.05051374435424805,0.0018398761749267578,67.53599381446838
33000,0.029656171798706055,69.16085696220398,0.05250906944274902,0.0015375614166259766,69.24455976486206
34000,0.03102588653564453,71.58817911148071,0.05465245246887207,0.002098560333251953,71.67595601081848
35000,0.03187298774719238,74.11470627784729,0.06080174446105957,0.0020554065704345703,74.20943641662598
36000,0.030277013778686523,76.04013872146606,0.054747581481933594,0.002274036407470703,76.12743735313416
37000,0.030621767044067383,78.18926167488098,0.05600285530090332,0.0017986297607421875,78.2776849269867
38000,0.03246474266052246,80.07935190200806,0.06382250785827637,0.002039670944213867,80.17767882347107
39000,0.031076908111572266,82.21563053131104,0.06809830665588379,0.0026149749755859375,82.31742072105408
40000,0.03039097785949707,84.65314841270447,0.06186366081237793,0.0025844573974609375,84.7479875087738
41000,0.03147387504577637,86.86319017410278,0.06022763252258301,0.001861572265625,86.95675325393677
42000,0.03072381019592285,88.7386827468872,0.06186223030090332,0.0020258426666259766,88.83329463005066
43000,0.030803680419921875,91.09441256523132,0.07118439674377441,0.0018241405487060547,91.19822478294373
44000,0.03089761734008789,93.05263018608093,0.07001686096191406,0.001950979232788086,93.15549564361572
45000,0.03336381912231445,94.89532399177551,0.07677531242370605,0.0023238658905029297,95.00778698921204
46000,0.03180742263793945,96.94866132736206,0.08019900321960449,0.0022628307342529297,97.06293058395386
47000,0.030504703521728516,99.43501162528992,0.07223176956176758,0.0018301010131835938,99.5395781993866
48000,0.032412052154541016,101.43052339553833,0.0840919017791748,0.0026803016662597656,101.5497076511383
49000,0.030393362045288086,104.00033926963806,0.07927823066711426,0.0017924308776855469,104.11180329322815
50000,0.03063225746154785,106.09909915924072,0.08601975440979004,0.002154111862182617,106.21790528297424
51000,0.03218817710876465,107.9601480960846,0.08099722862243652,0.0019061565399169922,108.07523965835571
52000,0.03135561943054199,109.91342234611511,0.08462810516357422,0.0021452903747558594,110.03155136108398
53000,0.031177759170532227,112.14122009277344,0.08057761192321777,0.002501964569091797,112.25547742843628
54000,0.030724763870239258,114.43880200386047,0.09197163581848145,0.0020411014556884766,114.56353950500488
55000,0.03273272514343262,116.39384770393372,0.09078669548034668,0.0020589828491210938,116.51942610740662
56000,0.03059101104736328,118.72976803779602,0.08096718788146973,0.002286672592163086,118.84361290931702
57000,0.031077146530151367,120.75648188591003,0.09301185607910156,0.002194643020629883,120.88276553153992
58000,0.03054666519165039,123.09948897361755,0.08628058433532715,0.002313852310180664,123.21863007545471
59000,0.030608177185058594,124.5964605808258,0.08958721160888672,0.0018541812896728516,124.71851015090942
