A*      Travel Time
500     29.466384887695312
1000    26.767237424850464
1500    35.306283950805664
2000    42.88779544830322
2500    41.62420582771301
3000    36.36276364326477

SA*     Travel Time
500     16.37868356704712 
1000    17.54097867012024
1500    21.340016841888428
2000    15.348989248275757
2500    14.458252668380737
3000    18.65876340866089
