num_samples,sampling_time,roadmap_time,pathfinding_time,simplification_time,total_time
1000,0.028982400894165,1.99697685241699,0.00194144248962402,0.00116515159606934,2.02906584739685
1100,0.0397891998291016,2.21489095687866,0.00174951553344727,0.00152373313903809,2.25795340538025
1200,0.0295243263244629,2.44902229309082,0.002288818359375,0.00156664848327637,2.48240208625793
1300,0.0295464992523193,2.63086652755737,0.00199556350708008,0.0015408992767334,2.66394948959351
1400,0.0290865898132324,2.78927516937256,0.00260686874389648,0.00193643569946289,2.82290506362915
1500,0.0293047428131104,3.06708145141602,0.0027773380279541,0.00147461891174316,3.10063815116882
1600,0.0288317203521729,3.27599787712097,0.00300288200378418,0.00164532661437988,3.30947780609131
1700,0.0300278663635254,3.49386262893677,0.00277495384216309,0.00101208686828613,3.52767753601074
1800,0.0282900333404541,3.67206239700317,0.00385451316833496,0.00167107582092285,3.70587801933289
1900,0.0383148193359375,3.8700122833252,0.00344181060791016,0.00117778778076172,3.9129467010498
2000,0.029726505279541,4.06482529640198,0.00301432609558105,0.00170564651489258,4.09927177429199
