timestamp,power(W),velocity(m/s),position_x,position_y,position_z,mission_duration(s)
1740604111.956852,153.8597988843234,0.009800000000000532,0.0,0.0,1.0083059452418353,0.010425329208374023
1740604111.9909408,153.8597988843234,0.009800000000000532,0.0,0.0,1.0084725452418344,0.04451417922973633
1740604112.0251176,153.8597988843234,0.009800000000000517,0.0,0.0,1.0086391452418335,0.07869100570678711
1740604112.0589774,153.8597988843234,0.0098000000000005,0.0,0.0,1.0088057452418326,0.11255073547363281
1740604112.0929644,153.8597988843234,0.009800000000000456,0.0,0.0,1.0089723452418318,0.14653778076171875
1740604112.1273377,153.8597988843234,0.009800000000000435,0.0,0.0,1.009138945241831,0.18091106414794922
1740604112.1617768,153.8597988843234,0.00980000000000043,0.0,0.0,1.00930554524183,0.21535015106201172
1740604112.1956127,153.8597988843234,0.009800000000000409,0.0,0.0,1.0094721452418292,0.24918603897094727
1740604112.2295244,153.8597988843234,0.009800000000000393,0.0,0.0,1.0096387452418283,0.2830977439880371
1740604112.263454,153.8597988843234,0.009800000000000374,0.0,0.0,1.0098053452418274,0.31702733039855957
1740604112.2973447,153.8597988843234,0.009800000000000343,0.0,0.0,1.0099719452418265,0.3509180545806885
1740604112.3315144,153.8597988843234,0.00980000000000033,0.0,0.0,1.0101385452418257,0.3850877285003662
1740604112.3653908,153.8597988843234,0.009800000000000303,0.0,0.0,1.0103051452418248,0.418964147567749
1740604112.3994286,153.8597988843234,0.009800000000000282,0.0,0.0,1.010471745241824,0.4530019760131836
1740604112.433264,153.8597988843234,0.00980000000000027,0.0,0.0,1.010638345241823,0.48683738708496094
1740604112.467356,153.8597988843234,0.00980000000000026,0.0,0.0,1.0108049452418222,0.5209293365478516
1740604112.5013654,153.8597988843234,0.00980000000000022,0.0,0.0,1.0109715452418213,0.554938793182373
1740604112.5357337,153.8597988843234,0.009800000000000213,0.0,0.0,1.0111381452418204,0.5893070697784424
1740604112.5693703,153.8597988843234,0.009800000000000192,0.0,0.0,1.0113047452418196,0.622943639755249
1740604112.6035728,153.8597988843234,0.009800000000000168,0.0,0.0,1.0114713452418187,0.6571462154388428
1740604112.6375601,153.8597988843234,0.00980000000000017,0.0,0.0,1.0116379452418178,0.6911334991455078
1740604112.6714272,153.8597988843234,0.009800000000000166,0.0,0.0,1.011804545241817,0.7250006198883057
1740604112.7055345,153.8597988843234,0.009800000000000144,0.0,0.0,1.011971145241816,0.7591078281402588
1740604112.7394118,153.8597988843234,0.009800000000000135,0.0,0.0,1.0121377452418152,0.792985200881958
1740604112.7734935,153.8597988843234,0.009800000000000126,0.0,0.0,1.0123043452418143,0.8270668983459473
1740604112.8077712,153.8597988843234,0.009800000000000132,0.0,0.0,1.0124709452418135,0.861344575881958
1740604112.8416185,153.8597988843234,0.009800000000000121,0.0,0.0,1.0126375452418126,0.8951919078826904
1740604112.8817785,153.8597988843234,0.009800000000000112,0.0,0.0,1.0128041452418117,0.9353518486022949
1740604112.914712,153.8597988843234,0.009800000000000092,0.0,0.0,1.0129707452418109,0.968285322189331
1740604112.948766,153.8597988843234,0.009800000000000085,0.0,0.0,1.01313734524181,1.0023393630981445
1740604112.9827232,153.8597988843234,0.00980000000000007,0.0,0.0,1.0133039452418091,1.0362966060638428
1740604113.016834,153.8597988843234,0.009800000000000062,0.0,0.0,1.0134705452418082,1.0704073905944824
1740604113.0508008,153.8597988843234,0.00980000000000007,0.0,0.0,1.0136371452418074,1.1043741703033447
1740604113.0849469,153.8597988843234,0.009800000000000052,0.0,0.0,1.0138037452418065,1.1385202407836914
1740604113.118854,153.8597988843234,0.009800000000000045,0.0,0.0,1.0139703452418056,1.1724274158477783
1740604113.1528974,153.8597988843234,0.009800000000000041,0.0,0.0,1.0141369452418048,1.2064707279205322
1740604113.1867871,153.8597988843234,0.009800000000000019,0.0,0.0,1.0143035452418039,1.2403604984283447
1740604113.2212439,153.8597988843234,0.00980000000000001,0.0,0.0,1.014470145241803,1.2748172283172607
1740604113.2548761,153.8597988843234,0.009800000000000007,0.0,0.0,1.0146367452418021,1.3084495067596436
1740604113.2888129,153.8597988843234,0.009800000000000005,0.0,0.0,1.0148033452418013,1.342386245727539
1740604113.3227217,153.8597988843234,0.009799999999999988,0.0,0.0,1.0149699452418004,1.3762950897216797
1740604113.3567827,153.8597988843234,0.009799999999999998,0.0,0.0,1.0151365452417995,1.410356044769287
1740604113.390783,153.8597988843234,0.009799999999999986,0.0,0.0,1.0153031452417987,1.4443564414978027
1740604113.425228,153.8597988843234,0.0098,0.0,0.0,1.0154697452417978,1.4788014888763428
1740604113.4596496,153.8597988843234,0.009799999999999967,0.0,0.0,1.015636345241797,1.5132229328155518
1740604113.4929035,153.8597988843234,0.009799999999999965,0.0,0.0,1.015802945241796,1.5464768409729004
1740604113.5270767,153.8597988843234,0.009799999999999968,0.0,0.0,1.0159695452417952,1.5806500911712646
1740604113.5612876,153.8597988843234,0.009799999999999967,0.0,0.0,1.0161361452417943,1.614861011505127
1740604113.5952718,153.8597988843234,0.009799999999999972,0.0,0.0,1.0163027452417934,1.6488451957702637
1740604113.6299384,153.8597988843234,0.009799999999999958,0.0,0.0,1.0164693452417926,1.683511734008789
1740604113.6634057,153.8597988843234,0.009799999999999955,0.0,0.0,1.0166359452417917,1.7169790267944336
1740604113.6972394,153.8597988843234,0.009799999999999944,0.0,0.0,1.0168025452417908,1.7508127689361572
1740604113.7316592,153.8597988843234,0.009799999999999937,0.0,0.0,1.01696914524179,1.7852325439453125
